BLDG_VALUE,SFYI_VALUE,TOTAL_VALUE,GROSS_TAX,YR_BUILT
200,0,34500, $-   ,
492700,0,605200," $12,684.54 ",1920.0
2390400,0,3992300," $100,885.42 ",1979.0
0,0,2116700," $53,489.01 ",
200,0,18800, $-   ,
0,0,554300, $-   ,
155300,0,477500," $12,066.43 ",1965.0
0,0,1945500," $49,162.79 ",
0,0,251400, $-   ,
0,0,1343000," $33,937.61 ",
192800,0,373600," $4,072.24 ",1890.0
581300,0,808100," $8,808.29 ",1900.0
558000,0,775800," $8,456.22 ",1905.0
640000,0,849200," $9,256.28 ",1900.0
536200,0,730100," $7,958.09 ",2003.0
444200,0,658700," $7,179.83 ",1900.0
846100,0,1078100," $11,751.29 ",1900.0
666400,0,921900," $10,048.71 ",1900.0
0,0,0, $-   ,1890.0
623500,0,864800," $9,426.32 ",1899.0
646000,0,840900," $9,165.81 ",1900.0
628500,0,818900," $8,926.01 ",1905.0
601900,0,782400," $8,528.16 ",1900.0
452900,0,624700," $6,809.23 ",1910.0
438800,0,596400," $9,414.76 ",1910.0
532100,0,532100," $5,799.89 ",1890.0
517900,0,517900," $5,645.11 ",1890.0
563700,0,563700," $6,144.33 ",1890.0
219600,0,374400," $4,080.96 ",1900.0
571500,0,776000," $8,458.40 ",1916.0
242800,0,414700," $4,520.23 ",1900.0
209200,0,429800," $4,684.82 ",1900.0
735600,0,1403800," $35,474.03 ",1960.0
278900,0,743000," $18,775.61 ",1964.0
0,0,4557800," $115,175.61 ",
367200,0,476800," $12,048.74 ",1950.0
291300,0,404200," $8,003.64 ",1900.0
386400,0,489800," $12,377.25 ",1950.0
63800,0,81800," $2,067.09 ",1920.0
812000,0,1215700," $30,720.74 ",1903.0
525200,0,685500," $12,397.27 ",1920.0
426400,0,584400," $10,149.56 ",1910.0
565000,0,789600," $8,606.64 ",1900.0
218100,0,352900," $6,736.94 ",1899.0
537350,0,706150," $11,553.14 ",1910.0
537350,0,706150," $11,553.14 ",1910.0
329900,0,445300," $8,566.00 ",1900.0
0,0,50400," $1,273.61 ",
0,0,53800," $1,359.53 ",
1603700,0,2354000," $59,485.58 ",1970.0
753500,0,988700," $24,984.45 ",1905.0
432300,0,633200," $16,000.96 ",1930.0
0,0,2995800, $-   ,
890600,0,1496200," $37,808.97 ",
403100,0,590000," $6,431.00 ",1880.0
45400,0,65500," $1,655.19 ",1935.0
0,0,82800, $902.52 ,
347300,0,504300," $5,496.87 ",1900.0
0,0,4800, $52.32 ,
0,0,1900, $20.71 ,
0,0,800, $8.72 ,
0,0,700, $7.63 ,
131100,0,217700," $5,501.28 ",1960.0
200,0,59600, $-   ,
0,0,38900, $424.01 ,
645600,0,848200," $9,245.38 ",2014.0
0,0,77700, $846.93 ,
521000,0,730600," $7,963.54 ",1910.0
200,0,1500, $-   ,
484800,0,693500," $7,559.15 ",1910.0
309800,0,499500," $5,444.55 ",1910.0
298900,0,488300," $5,322.47 ",1899.0
502800,0,666700," $7,267.03 ",1910.0
0,0,43600," $1,101.77 ",
366300,0,574900," $6,266.41 ",1910.0
304500,0,486100," $5,298.49 ",1900.0
147800,0,189200," $4,781.08 ",1910.0
1134800,0,1642400," $41,503.45 ",1930.0
53191000,0,62980500," $1,591,517.24 ",2014.0
200,0,4393100, $-   ,
0,0,0, $-   ,2017.0
0,0,848000," $21,428.96 ",
612200,0,612200," $6,672.98 ",2017.0
589600,0,589600," $6,426.64 ",2017.0
617700,0,617700," $6,732.93 ",2017.0
628800,0,628800," $6,853.92 ",2017.0
557300,0,557300," $6,074.57 ",2017.0
0,0,405500," $10,246.99 ",
519100,0,519100," $5,658.19 ",2017.0
602800,0,602800," $6,570.52 ",2017.0
611800,0,611800," $6,668.62 ",2017.0
632900,0,632900," $6,898.61 ",2017.0
605900,0,605900," $6,604.31 ",2017.0
0,0,5741800," $145,095.29 ",
242600,0,242600," $2,644.34 ",2017.0
493600,0,493600," $5,380.24 ",2017.0
577800,0,577800," $6,298.02 ",2017.0
608900,0,608900," $6,637.01 ",2017.0
617900,0,617900," $6,735.11 ",2017.0
1493300,0,2391300," $26,065.17 ",1910.0
306300,0,306300," $3,338.67 ",2017.0
582400,0,582400," $6,348.16 ",2017.0
502400,0,502400," $5,476.16 ",2017.0
492900,0,492900," $5,372.61 ",2017.0
0,0,207000," $5,230.89 ",
829400,0,1187000," $25,049.27 ",1950.0
0,0,0, $-   ,1900.0
827800,0,1150800," $12,543.72 ",1915.0
677200,0,1038900," $11,324.01 ",1900.0
255400,0,364600," $5,808.40 ",1899.0
0,0,0, $-   ,2019.0
584900,0,584900," $6,375.41 ",2019.0
580600,0,580600," $6,328.54 ",2019.0
3507600,0,10045700," $253,854.84 ",1986.0
584700,0,584700," $6,373.23 ",2019.0
590800,0,590800," $6,439.72 ",2019.0
598600,0,598600," $6,524.74 ",2019.0
629500,0,629500," $6,861.55 ",2019.0
574000,0,574000," $6,256.60 ",2019.0
0,0,28300, $308.47 ,
585100,0,585100," $6,377.59 ",2019.0
610300,0,610300," $6,652.27 ",2019.0
0,0,251000," $2,735.90 ",
53260300,0,72789500," $793,405.55 ",1967.0
0,0,0, $-   ,1960.0
393400,0,393400," $4,288.06 ",1960.0
125000,0,278000," $7,025.06 ",1960.0
511000,0,511000," $5,569.90 ",1960.0
418600,0,418600," $4,562.74 ",1960.0
485300,0,485300," $5,289.77 ",1960.0
409100,0,409100," $4,459.19 ",1960.0
354800,0,354800," $3,867.32 ",1960.0
552200,0,552200," $6,018.98 ",1960.0
476400,0,476400," $5,192.76 ",1960.0
550000,0,550000," $5,995.00 ",1960.0
459100,0,459100," $5,004.19 ",1960.0
406400,0,406400," $4,429.76 ",1960.0
379300,0,379300," $4,134.37 ",1960.0
660000,0,660000," $7,194.00 ",1960.0
395600,0,395600," $4,312.04 ",1960.0
424500,0,424500," $4,627.05 ",1960.0
455200,0,455200," $4,961.68 ",1960.0
350800,0,350800," $3,823.72 ",1960.0
510200,0,510200," $5,561.18 ",1960.0
409300,0,409300," $4,461.37 ",1960.0
559600,0,559600," $6,099.64 ",1960.0
467000,0,467000," $5,090.30 ",1960.0
461500,0,656200," $7,152.58 ",1910.0
509700,0,702700," $7,659.43 ",1910.0
453500,0,645400," $7,034.86 ",1910.0
481900,0,672800," $7,333.52 ",1910.0
526100,0,716100," $7,805.49 ",1910.0
616400,0,805300," $8,777.77 ",1910.0
570600,0,758100," $8,263.29 ",1921.0
430200,0,616400," $6,718.76 ",1910.0
0,0,28800, $313.92 ,
689600,0,911300," $9,933.17 ",1940.0
0,0,0, $-   ,1918.0
622100,0,846200," $9,223.58 ",1940.0
487200,0,735800," $8,020.22 ",1940.0
0,0,10000, $-   ,
467900,0,657500," $16,615.03 ",1960.0
24841900,0,33147700," $837,642.38 ",1950.0
51435500,0,64335400," $701,255.86 ",2020.0
39255400,0,56955600," $1,439,268.01 ",1972.0
0,0,68800, $749.92 ,
746300,0,947200," $10,324.48 ",1920.0
553200,0,765100," $8,339.59 ",1910.0
420000,0,604600," $6,590.14 ",1910.0
0,0,0, $-   ,1900.0
478100,0,478100," $5,211.29 ",1900.0
483900,0,483900," $5,274.51 ",1900.0
158151,0,261136," $6,598.91 ",1960.0
308100,0,494100," $5,385.69 ",1910.0
213900,0,394700," $4,302.23 ",1916.0
184100,0,245600," $6,206.31 ",1930.0
0,0,9100, $99.19 ,
578200,0,779400," $8,495.46 ",1910.0
0,0,70100, $764.09 ,
0,0,47000, $512.30 ,
641900,0,844700," $9,207.23 ",1910.0
274000,0,459500," $5,008.55 ",1920.0
198400,0,384800," $4,194.32 ",1910.0
267900,0,455200," $4,961.68 ",1910.0
0,0,0, $-   ,
645400,0,645400," $7,034.86 ",2016.0
645400,0,645400," $7,034.86 ",2016.0
57918,0,85079, $-   ,
346400,0,535300," $5,834.77 ",1910.0
289500,0,478900," $5,220.01 ",1910.0
0,0,0, $-   ,2021.0
567700,0,567700," $6,187.93 ",2021.0
719200,0,719200," $7,839.28 ",2021.0
417700,0,625500," $6,817.95 ",1910.0
380044,0,525293," $5,725.69 ",1927.0
0,0,0, $-   ,1910.0
453200,0,453200," $4,939.88 ",1910.0
811000,0,1192000, $-   ,1933.0
440100,0,440100," $4,797.09 ",1910.0
444500,0,444500," $4,845.05 ",1910.0
0,0,0, $-   ,2021.0
500800,0,500800," $5,458.72 ",2021.0
595000,0,595000," $6,485.50 ",2021.0
508400,0,508400," $5,541.56 ",2021.0
603900,0,603900," $6,582.51 ",2021.0
955600,0,955600," $10,416.04 ",2021.0
504800,0,504800," $5,502.32 ",2016.0
288900,0,490400," $5,345.36 ",1930.0
578200,0,829400," $9,040.46 ",1910.0
537900,0,757700," $8,258.93 ",1910.0
536800,0,755600," $8,236.04 ",1910.0
575400,0,793100," $8,644.79 ",1910.0
431100,0,665400," $7,252.86 ",1900.0
547300,0,763100," $8,317.79 ",1910.0
456800,0,672000," $7,324.80 ",1910.0
9100,0,9100, $99.19 ,
561000,0,796600," $8,682.94 ",1910.0
491100,0,755900," $8,239.31 ",1900.0
0,0,45900, $500.31 ,
715000,0,979200," $10,673.28 ",1910.0
420200,0,420200," $4,580.18 ",1918.0
421700,0,421700," $4,596.53 ",1918.0
436200,0,436200," $4,754.58 ",1918.0
790300,0,1040600," $11,342.54 ",1918.0
685200,0,931200," $10,150.08 ",1918.0
239700,0,319200," $3,479.28 ",1900.0
350200,0,549000," $5,984.10 ",1910.0
267000,0,448200," $4,885.38 ",1910.0
442300,0,705100," $7,685.59 ",1910.0
372700,0,572000," $6,234.80 ",1910.0
368800,0,568000," $6,191.20 ",1899.0
153500,0,483400," $12,215.52 ",
551600,0,931600," $23,541.53 ",1940.0
288300,0,463900," $5,056.51 ",1900.0
103000,0,237400," $5,999.10 ",1960.0
0,0,0, $-   ,1999.0
463600,0,463600," $5,053.24 ",1985.0
430600,0,430600," $4,693.54 ",1985.0
0,0,189200," $2,062.28 ",
465000,0,753900," $8,217.51 ",1900.0
0,0,0, $-   ,2003.0
510700,0,510700," $5,566.63 ",2003.0
500400,0,500400," $5,454.36 ",2003.0
693700,0,963900," $10,506.51 ",1990.0
896732,0,1079332," $11,764.72 ",1905.0
1804268,0,2171668," $23,671.18 ",2020.0
277100,0,524300," $5,714.87 ",1920.0
0,0,74800, $815.32 ,
359500,0,605500," $6,599.95 ",1915.0
598900,0,868800," $9,469.92 ",1890.0
201700,0,302700," $7,649.23 ",1975.0
418300,0,612100," $15,467.77 ",1950.0
87094,0,127938, $-   ,
587888,0,863584, $-   ,1930.0
513900,0,763000," $8,316.70 ",1939.0
0,0,15000, $163.50 ,
782300,0,1005400," $10,958.86 ",1920.0
639300,0,849000," $9,254.10 ",1910.0
0,0,0, $-   ,1910.0
515400,0,515400," $5,617.86 ",1910.0
525600,0,525600," $5,729.04 ",1910.0
795700,0,1034300," $11,273.87 ",1910.0
577300,0,806700," $8,793.03 ",1910.0
728600,0,991100," $10,802.99 ",1920.0
929900,0,1165000," $12,698.50 ",1910.0
555500,0,763400," $8,321.06 ",1890.0
656600,0,928200," $10,117.38 ",1900.0
0,0,0, $-   ,1900.0
266900,0,566100," $6,170.49 ",1900.0
438800,0,655300," $7,142.77 ",1925.0
956500,0,1228500," $13,390.65 ",1925.0
527600,0,527600," $5,750.84 ",2019.0
1019800,0,1314900," $14,332.41 ",1910.0
8193200,0,13128300, $-   ,1965.0
725100,0,1011900," $11,029.71 ",1910.0
407500,0,609700," $6,645.73 ",1900.0
772200,0,1057600," $11,527.84 ",1925.0
456900,0,763800," $8,325.42 ",1900.0
467600,0,667100," $7,271.39 ",1905.0
515000,0,714300," $7,785.87 ",1905.0
483100,0,682200," $7,435.98 ",1900.0
502300,0,701000," $7,640.90 ",1900.0
953600,0,1170900," $12,762.81 ",1910.0
0,0,0, $-   ,1905.0
467300,0,467300," $5,093.57 ",2016.0
487300,0,487300," $5,311.57 ",2016.0
678400,0,939700," $10,242.73 ",1900.0
0,0,0, $-   ,2019.0
0,0,23400, $255.06 ,
0,0,10100, $-   ,
529100,0,529100," $5,767.19 ",2019.0
535800,0,535800," $5,840.22 ",2019.0
526300,0,526300," $5,736.67 ",2019.0
0,0,74900, $816.41 ,
593600,0,593600," $6,470.24 ",2017.0
555100,0,555100," $6,050.59 ",2017.0
738800,0,985100," $10,737.59 ",1905.0
549400,0,810600," $8,835.54 ",1890.0
1611100,0,2390800," $26,059.72 ",1900.0
636700,0,846500," $9,226.85 ",1900.0
579900,0,789500," $8,605.55 ",1900.0
722600,0,942500," $10,273.25 ",1911.0
842600,0,1062300," $11,579.07 ",1870.0
640900,0,860600," $9,380.54 ",1900.0
622200,0,841900," $9,176.71 ",1900.0
1680000,0,1931300," $21,051.17 ",1910.0
616200,0,836100," $9,113.49 ",1900.0
0,0,23400, $255.06 ,
738700,0,958700," $10,449.83 ",1900.0
374400,0,572900," $6,244.61 ",1900.0
747000,0,964800," $10,516.32 ",1899.0
423700,0,622400," $6,784.16 ",1900.0
387300,0,568400," $6,195.56 ",1900.0
344100,0,525300," $5,725.77 ",1900.0
384500,0,583800," $6,363.42 ",1900.0
361300,0,561000," $6,114.90 ",1900.0
406400,0,606500," $6,610.85 ",1900.0
424800,0,625300," $6,815.77 ",1899.0
550400,0,660700," $7,201.63 ",1930.0
0,0,0, $-   ,1899.0
520200,0,520200," $5,670.18 ",1899.0
531800,0,531800," $5,796.62 ",1899.0
604200,0,604200," $6,585.78 ",1899.0
378300,0,580800," $6,330.72 ",1870.0
821200,0,1045900," $11,400.31 ",1910.0
623200,0,848900," $9,253.01 ",1900.0
500300,0,713500," $7,777.15 ",1918.0
498500,0,709200," $7,730.28 ",1918.0
392206,0,542103," $5,908.92 ",1918.0
531300,0,743500," $8,104.15 ",1918.0
479700,0,692800," $7,551.52 ",1918.0
539100,0,753000," $8,207.70 ",1906.0
478300,0,693800," $7,562.42 ",1918.0
548100,0,764200," $8,329.78 ",1918.0
597900,0,806400," $8,789.76 ",1906.0
527400,0,730600," $7,963.54 ",1918.0
501100,0,703200," $7,664.88 ",1900.0
0,0,24800, $270.32 ,
694300,0,978300, $-   ,1903.0
870100,0,1087000," $11,848.30 ",1910.0
419400,0,608500," $6,632.65 ",1910.0
534000,0,814500," $8,878.05 ",1900.0
499500,0,732100," $7,979.89 ",1910.0
988400,0,1315300," $14,336.77 ",1910.0
0,0,31400, $342.26 ,
341500,0,563100," $6,137.79 ",1910.0
1124800,0,1450400," $15,809.36 ",1910.0
1093700,0,1414900," $15,422.41 ",1910.0
781500,0,1076400," $11,732.76 ",2006.0
0,0,75600, $824.04 ,
522400,0,759000," $8,273.10 ",2007.0
765600,0,992200," $10,814.98 ",1910.0
1007900,0,1234700," $13,458.23 ",1910.0
480400,0,675200," $7,359.68 ",1894.0
545900,0,728900," $7,945.01 ",1920.0
0,0,0, $-   ,1910.0
440000,0,634600," $6,917.14 ",1910.0
576600,0,846800," $9,230.12 ",1910.0
586000,0,854600," $9,315.14 ",1910.0
200,0,484600, $-   ,
932100,0,1198100," $13,059.29 ",1910.0
972600,0,1255300," $13,682.77 ",1899.0
0,0,177100, $-   ,
379900,0,627900," $6,844.11 ",1910.0
446000,0,644800," $7,028.32 ",1910.0
0,0,45800, $499.22 ,
372700,0,553500," $6,033.15 ",1900.0
540300,0,820400," $8,942.36 ",1910.0
230200,0,469500," $5,117.55 ",1910.0
172500,0,225500," $5,698.39 ",1925.0
347300,0,541200," $5,899.08 ",1910.0
521500,0,693100," $7,554.79 ",1975.0
385200,0,566800," $6,178.12 ",1847.0
446400,0,627800," $6,843.02 ",1910.0
626200,0,888000," $9,679.20 ",1910.0
323600,0,504200," $5,495.78 ",1910.0
619200,0,619200," $6,749.28 ",1910.0
524800,0,524800," $5,720.32 ",1910.0
850200,0,1173900," $12,795.51 ",1900.0
636000,0,636000," $6,932.40 ",1910.0
526400,0,526400," $5,737.76 ",1910.0
611200,0,611200," $6,662.08 ",1910.0
251900,0,431900," $4,707.71 ",1910.0
424400,0,604500," $6,589.05 ",1910.0
820800,0,1059700," $11,550.73 ",2016.0
964800,0,1388000," $15,129.20 ",1910.0
338600,0,582000," $6,343.80 ",1910.0
0,0,0, $-   ,1900.0
0,0,180600, $-   ,
484300,0,484300," $5,278.87 ",1900.0
517200,0,517200," $5,637.48 ",1900.0
524500,0,524500," $5,717.05 ",1900.0
636500,0,907600," $9,892.84 ",1910.0
540400,0,781900," $8,522.71 ",1910.0
313600,0,529400," $5,770.46 ",1910.0
448100,0,693700," $7,561.33 ",1910.0
0,0,0, $-   ,2017.0
418900,0,636200," $6,934.58 ",1910.0
482100,0,736300," $8,025.67 ",1950.0
413100,0,735600," $8,018.04 ",1910.0
443700,0,615300," $6,706.77 ",1910.0
0,0,183200, $-   ,
563900,0,740300," $8,069.27 ",1900.0
0,0,23700, $258.33 ,
724500,0,964500," $10,513.05 ",1910.0
562100,0,807400," $8,800.66 ",1910.0
358400,0,504200," $9,842.71 ",1945.0
564300,0,808700," $8,814.83 ",1950.0
390700,0,553700," $10,650.11 ",1920.0
574900,0,781600," $8,519.44 ",1910.0
245000,0,433100," $4,720.79 ",1910.0
420700,0,627600," $6,840.84 ",1910.0
459700,0,648200," $7,065.38 ",1910.0
590000,0,863300," $9,409.97 ",1875.0
305100,0,553900," $6,037.51 ",1910.0
266500,0,515200," $5,615.68 ",1900.0
444500,0,651100," $7,096.99 ",1910.0
554800,0,781100," $8,513.99 ",1910.0
468400,0,712300," $7,764.07 ",1910.0
0,0,70300, $766.27 ,
804300,0,1007600," $10,982.84 ",1910.0
1067900,0,1524900," $16,621.41 ",1925.0
217100,0,364900," $3,977.41 ",1910.0
532062,0,735411," $8,015.98 ",1900.0
608071,0,840469," $9,161.11 ",1900.0
749800,0,1045600," $11,397.04 ",1910.0
0,0,47500, $517.75 ,
411100,0,615800," $6,712.22 ",1905.0
0,0,63600, $693.24 ,
424700,0,610600," $6,655.54 ",1910.0
551100,0,820500," $8,943.45 ",1910.0
378600,0,564400," $6,151.96 ",1910.0
385900,0,631200," $6,880.08 ",1910.0
841304,0,1073945, $-   ,1900.0
487500,0,711000," $7,749.90 ",1905.0
200,0,93300, $-   ,
294800,0,480600," $5,238.54 ",1910.0
529700,0,713800," $7,780.42 ",1910.0
202200,0,292100," $3,183.89 ",1960.0
551600,0,753900," $8,217.51 ",1925.0
0,0,33700, $367.33 ,
1853278,0,2289936," $24,960.30 ",2021.0
685080,0,846494," $9,226.78 ",
685080,0,846494," $9,226.78 ",
426400,0,632700," $6,896.43 ",1900.0
441600,0,648000," $7,063.20 ",1890.0
398100,0,635400," $6,925.86 ",1890.0
526800,0,750500," $8,180.45 ",1899.0
526300,0,727400," $7,928.66 ",1890.0
411600,0,411600, $-   ,1988.0
432400,0,637000," $6,943.30 ",1890.0
392300,0,569400," $6,206.46 ",1890.0
469900,0,646700," $7,049.03 ",1890.0
425200,0,592100," $6,453.89 ",1900.0
0,0,10100, $-   ,
506100,0,672100," $7,325.89 ",1890.0
412400,0,412400, $-   ,1988.0
334200,0,459200," $5,005.28 ",1890.0
200,0,27700, $-   ,
200,0,7900, $-   ,
200,0,7500, $-   ,
0,0,4600, $50.14 ,
0,0,4900, $53.41 ,
355693,0,439499," $4,790.54 ",
426942,0,527535," $5,750.13 ",
515728,0,637241," $6,945.93 ",
624600,0,842800," $9,186.52 ",1900.0
658500,0,886100," $9,658.49 ",1910.0
579100,0,851400," $9,280.26 ",1920.0
795100,0,1014400," $11,056.96 ",1890.0
2338600,0,3346700, $-   ,1900.0
200,0,371400, $-   ,
512700,0,697700," $7,604.93 ",1900.0
412400,0,412400, $-   ,1988.0
506100,0,688200," $7,501.38 ",1900.0
335700,0,493800," $5,382.42 ",1900.0
0,0,44600, $486.14 ,
600800,0,802100," $8,742.89 ",1900.0
71900,0,600700, $-   ,
553800,0,789800," $8,608.82 ",1900.0
804300,0,1006700," $10,973.03 ",1899.0
450200,0,605300," $6,597.77 ",1900.0
437400,0,607200," $6,618.48 ",1900.0
595000,0,764400," $8,331.96 ",1900.0
706600,0,940800," $10,254.72 ",1900.0
1560300,0,1682000," $26,550.25 ",1960.0
588300,0,798100," $8,699.29 ",1900.0
327000,0,518200," $5,648.38 ",1900.0
516200,0,726600," $7,919.94 ",1900.0
512400,0,723600," $7,887.24 ",1900.0
695300,0,919700," $10,024.73 ",1890.0
349100,0,542000," $5,907.80 ",1900.0
402300,0,595400," $6,489.86 ",1900.0
677600,0,909700," $9,915.73 ",1890.0
458200,0,681700," $7,430.53 ",1890.0
592700,0,805700," $8,782.13 ",1900.0
578800,0,578800," $6,308.92 ",2017.0
500100,0,500100," $5,451.09 ",2017.0
0,0,0, $-   ,2019.0
440200,0,651500," $7,101.35 ",1900.0
250600,0,403000," $4,392.70 ",1900.0
